"","Isolate","level 1","level 2","level 3"
"1","109ST-1",1,1,1
"2","13ER-3795",1,1,2
"3","13ER-4703",2,4,4
"4","13ER-5169",2,5,6
"5","14ER-1012",3,7,9
"6","14ER-2496",2,5,6
"7","14ER-2816",1,2,12
"8","14ER-2831",3,8,15
"9","14ER-3009",2,4,4
"10","14ER-98",1,1,3
"11","36ST-1",2,4,5
"12","E200a",1,1,3
"13","ER-06-287",1,1,1
"14","ERL-04-3328",2,4,5
"15","ERL-04-3576",1,2,13
"16","ERL-04-3763",3,7,9
"17","ERL-04-3852-S4",1,1,3
"18","ERL-04-3852-S5",1,2,14
"19","ERL-04-602",3,7,10
"20","ERL-05-1169",1,1,3
"21","ERL-05-1243",2,4,5
"22","ERL-05-2349",3,9,18
"23","ERL-05-3299",3,7,10
"24","ERL-06-3358",1,2,14
"25","ERL-06-4465",3,7,10
"26","ERL-06-677",2,4,5
"27","ERL-07-155",3,8,16
"28","ERL-07-2865",1,1,3
"29","ERL-07-3071",2,4,5
"30","ERL-07-314",3,9,19
"31","ERL-07-811",1,1,3
"32","ERL-08-2021",4,11,21
"33","ERL-08-2124",2,5,7
"34","ERL-08-2970",1,1,3
"35","ERL-08-3021",3,7,11
"36","ERL-08-3450",1,1,3
"37","ERL-12-1148",1,1,2
"38","ERL04-1335",2,4,5
"39","ERL04-2149",2,4,5
"40","ERL04-2361",1,1,3
"41","ERL04-2635",1,1,1
"42","ERL04-3180",1,1,3
"43","ERL04-3193",2,4,5
"44","ERL04-3264",2,4,5
"45","ERL05-1677",3,7,10
"46","ERL05-2493",2,4,5
"47","ERL05-3130",1,2,13
"48","ERL05-3260",1,1,1
"49","ERL05-599",3,10,22
"50","ERL05-623",2,4,5
"51","ERL06-2494",1,1,3
"52","ERL06-3112",1,1,3
"53","ERL06-3117",2,4,5
"54","ERL06-3151",3,7,10
"55","ERL06-3513",2,4,5
"56","ERL06-4361",1,1,3
"57","ERL06-726",3,7,11
"58","ERL07-1133",1,1,3
"59","ERL07-154",4,11,21
"60","ERL07-2285",1,1,3
"61","ERL07-2341",1,1,3
"62","ERL07-2638",2,4,5
"63","ERL07-2698",3,8,17
"64","ERL08-1743",1,1,3
"65","ERL08-1889",1,1,3
"66","ERL08-1945",4,12,24
"67","ERL08-2000",2,6,25
"68","ERL08-3922",1,2,13
"69","ERL08-4331",3,9,20
"70","ERL08-987",3,9,20
"71","ERL08949",2,5,7
"72","ERL09-1792",3,9,18
"73","ERL09-2373",3,7,10
"74","ERL09-2521",3,8,17
"75","ERL09-2594",1,1,3
"76","ERL09-2641",1,1,3
"77","ERL09-3051",2,4,5
"78","ERL09-3411",2,4,5
"79","ERL093134",2,5,8
"80","ERL093611",1,3,26
"81","ERL093688",3,8,15
"82","ERL10-1821",4,11,21
"83","ERL10-2113",3,10,22
"84","ERL10-2267",2,5,8
"85","ERL10-4349",4,12,24
"86","ERL10-552",1,1,3
"87","ERL10-553",3,9,20
"88","ERL10-835",1,1,3
"89","ERL101381",2,5,8
"90","ERL101788",2,4,5
"91","ERL102582",1,1,3
"92","ERL11-1029",3,10,23
"93","ERL11-2437",2,4,4
"94","ERL11-2652",2,5,8
"95","ERL11-2886",1,3,26
"96","ERL11-411",2,4,5
"97","ERL11105",1,1,3
"98","ERL111514",1,1,3
"99","ERL111878",2,5,7
"100","ERL111881",3,9,18
"101","ERL112838",2,5,8
"102","ERL113692",3,7,10
"103","ERL12-2002",3,7,10
"104","ERL12-857",2,4,5
"105","ERL121115",2,5,6
"106","ERL121207",2,5,6
"107","ERL121344",1,1,3
"108","ERL12568",3,7,10
"109","ERL_051037",2,4,5
"110","ERL_061626",3,9,19
"111","ERL_07467",2,4,5
"112","ERL_084313",2,6,25
"113","ERL_10197",3,7,11
"114","H12ESR-1893",2,5,8
"115","H12ESR-3001",2,4,5
"116","H12ESR-3003",3,10,23
"117","H12ESR-3802",1,2,12
"118","H12ESR-3850",1,1,2
"119","H12ESR-4525",3,7,9
"120","H13ER-3948",2,4,4
"121","H13ER-5955",1,3,27
"122","H13ER-6408",3,7,9
"123","H13ER-6657",1,1,3
"124","H13ESR-1331",2,5,8
"125","H13ESR-2152",3,9,20
"126","H13ESR-2208",3,9,19
"127","H13ESR-2383",3,7,9
"128","H13ESR-2556",3,7,10
"129","H14ER-1075",2,4,5
"130","H14ER-115",3,8,16
"131","H14ER-1245",2,4,4
"132","H14ER-1346",1,1,3
"133","H14ER-519",1,3,26
"134","H14ER-913",3,9,20
"135","H174a",2,5,6
"136","H81a",1,1,3
"137","Reference",1,1,3
"138","T53a",3,8,17
"139","a220a",3,8,16
"140","e46a",3,9,20
"141","e82b",1,1,1
"142","h110a",3,10,23
"143","h160a",1,1,3
"144","h25a",2,4,5
